Feature,KNeighborsClassifier() Perturbation Importance
onehot_scaled__ad_position_Bottom,0.001952516389640707
onehot_scaled__ad_position_Side,0.0018983641204844636
onehot_scaled__ad_position_Top,-0.0005612680811953929
onehot_scaled__ad_position_Unknown,-0.0028242885803264894
onehot_scaled__browsing_history_Education,0.003402139365273493
onehot_scaled__browsing_history_Entertainment,0.003766300728732641
onehot_scaled__browsing_history_News,0.0007476043251721798
onehot_scaled__browsing_history_Shopping,0.002571644504485782
onehot_scaled__browsing_history_Social Media,0.0035808315509058886
onehot_scaled__browsing_history_Unknown,0.0017385650960783593
onehot_scaled__device_type_Desktop,0.009071857839445585
onehot_scaled__device_type_Mobile,0.0052074396404538205
onehot_scaled__device_type_Tablet,0.003593103062088804
onehot_scaled__device_type_Unknown,-0.004920462983709706
onehot_scaled__gender_Female,0.005428550679187949
onehot_scaled__gender_Male,0.0036525974956217403
onehot_scaled__gender_Non-Binary,0.002994981928276197
onehot_scaled__gender_Unknown,0.0018500095866255729
ordinal_scaled__time_of_day,0.037403620580801475
scaler__age,0.052487596989980304
